日期,距离,用时,平均配速,消耗热量,平均心率,步频,步幅,当月次数,当月总跑量,当年次数,当年总跑量,备注,,,,,,,,,,,,,,,
2020/6/25,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/26,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/27,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/28,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/29,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/30,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/1,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/2,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/3,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/4,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/5,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/6,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/7,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/8,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/9,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/10,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/11,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/12,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/13,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/14,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/15,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/16,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/17,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/18,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/19,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/20,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/21,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/22,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/23,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/24,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/25,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/26,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/27,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/28,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/29,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/30,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/7/31,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/1,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/2,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/3,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
